This file is an ordered list of 16bit choices for two additional miller-rabin
bases to use in conjunction with bases 2 and 15, for doing primality testing of
a 64 bit value.
The list is sorted by how many 64 bit values are strong pseudoprimes to all
four of the following bases: base[0]=2, base[1]=15,
base[2]=column1_base_number, and base[3]=column2_base_number.

The roughly 15000 listed base combinations are the best out of the exhaustive
list of all possible combinations of two 16bit base values (approximately 2
billion combinations all evaluated).

total pseudoprimes   base number   base number
10777  13875  61893
10777  19500  62197
10777  27508  53724
10777  32079  42237
10778  117    40293
10778  325    2368
10778  637    14430
10778  637    57720
10778  1872   40293
10778  5733   11100
10778  6877   13431
10778  7252   61893
10778  10192  14430
10778  10192  57720
10778  10852  45253
10778  11700  64845
10778  12493  53724
10778  13431  63700
10778  18759  48373
10778  21853  38961
10778  22932  44400
10778  29952  40293
10778  46800  64845
10778  49972  53724
10779  37     1300
10779  37     20800
10779  52     64845
10779  148    5200
10779  832    64845
10779  1300   9472
10779  1850   63700
10779  2368   19773
10779  2548   4995
10779  5200   37888
10779  5328   37908
10779  7215   15925
10779  7215   24037
10779  9472   20800
10779  12493  29524
10779  13312  64845
10779  15925  28860
10779  15925  42772
10779  17908  39325
10779  29600  63700
10779  32079  36517
10779  40293  40768
10780  325    8325
10780  481    6877
10780  1300   8325
10780  2368   5200
10780  2548   14430
10780  2548   57720
10780  2925   64845
10780  4995   40768
10780  6877   57720
10780  7488   40293
10780  8325   20800
10780  10693  42237
10780  14430  45253
10780  17908  27508
10780  18634  32500
10780  22932  58323
10780  23125  37908
10780  26325  40293
10780  33813  62197
10780  40695  45253
10780  42237  42772
10780  43408  45253
10780  48373  57720
10781  37     325
10781  148    19773
10781  325    9472
10781  468    40293
10781  592    1300
10781  592    20800
10781  1300   33300
10781  1813   61893
10781  2713   45253
10781  4477   28717
10781  5200   8325
10781  6877   7696
10781  7696   51597
10781  13431  15925
10781  19773  37888
10781  20800  33300
10781  29524  49972
10781  32500  58233
10782  13     64845
10782  37     5200
10782  52     26223
10782  637    40293
10782  832    26223
10782  1924   51597
10782  2775   5733
10782  3328   64845
10782  5200   9472
10782  8658   65533
10782  10071  32500
10782  10192  40293
10782  13312  26223
10782  14430  40768
10782  27508  28860
10782  27508  64935
10782  28717  33300
10782  28717  35557
10782  30784  51597
10782  32500  40284
10782  34632  65533
10782  40768  57720
10782  57673  58357
10783  195    53078
10783  325    592
10783  325    33300
10783  481    51597
10783  5733   15392
10783  5733   44400
10783  7215   27508
10783  8125   58233
10783  15028  25657
10783  23125  54925
10783  29008  61893
10783  42772  63700
10783  45253  57720
10784  592    5200
10784  962    5733
10784  1813   10933
10784  3120   53078
10784  4477   39325
10784  7020   56277
10784  7381   12493
10784  8325   28717
10784  10693  15925
10784  15392  22932
10784  28860  63700
10784  43875  53078
10784  49920  53078
10784  56277  61893
10784  58357  62197
10785  37     19773
10785  208    64845
10785  333    9477
10785  925    7020
10785  962    22932
10785  4477   33813
10785  5200   33300
10785  5733   58323
10785  5733   61568
10785  6877   53724
10785  7020   14800
10785  9472   19773
10785  9477   23125
10785  11988  33813
10785  28080  56277
10785  53248  64845
10785  54925  59135
10785  59364  65533
10786  13     26223
10786  208    26223
10786  592    19773
10786  925    28080
10786  925    48373
10786  1755   56277
10786  3328   26223
10786  3848   5733
10786  4875   62197
10786  5328   9477
10786  7381   49972
10786  10933  29008
10786  14430  48373
10786  17908  33813
10786  22932  61568
10786  32500  48490
10786  51597  53428
10787  592    28717
10787  925    1755
10787  3700   28080
10787  3848   22932
10787  7215   63700
10787  8125   30184
10787  14800  28080
10787  14800  48373
10787  24678  65533
10787  26223  53248
10788  1573   32269
10788  1755   3700
10788  1755   14800
10788  1813   43732
10788  1924   28717
10788  2997   33813
10788  3700   7020
10788  8125   10071
10788  9477   19573
10788  11700  26223
10788  13357  51597
10788  15925  33300
10788  15925  35557
10788  26325  55500
10788  28080  59200
10788  28717  31265
10789  37     28717
10789  148    28717
10789  1755   59200
10789  3700   48373
10789  3848   39325
10789  4693   62197
10789  7020   59200
10789  9472   28717
10789  10693  63700
10789  25168  32269
10789  26973  36517
10789  28717  30784
10789  28717  37888
10789  36517  45325
10789  48373  59200
10790  2368   28717
10790  4668   61893
10790  6292   32269
10790  7252   10933
10790  8125   40284
10790  8325   15925
10790  11100  49972
10790  14841  65533
10790  29008  43732
10790  33813  47952
10791  637    13875
10791  2548   13875
10791  7215   28717
10791  10192  13875
10791  15392  60112
10791  33300  63700
10791  39325  61568
10791  52523  54925
10792  481    28717
10792  637    55500
10792  1998   63700
10792  5733   42772
10792  6292   62197
10792  8125   48490
10792  10192  55500
10792  18772  62197
10792  23125  58357
10792  23976  42237
10792  26973  61893
10793  481    61893
10793  962    60112
10793  1998   15925
10793  2548   55500
10793  2775   48373
10793  3757   15392
10793  5994   42237
10793  7184   26325
10793  7252   43732
10793  7546   8125
10793  7696   28717
10793  8325   63700
10793  13431  36517
10793  15028  16317
10793  22932  42772
10793  27508  58201
10793  28717  28860
10793  35557  63700
10793  56355  62197
10794  925    42237
10794  1167   61893
10794  1924   61893
10794  2925   26223
10794  6100   21853
10794  7992   63700
10794  11100  48373
10794  15392  39325
10794  19573  37908
10794  30184  32500
10794  40293  56355
10794  44400  48373
10795  449    26325
10795  962    3757
10795  962    39325
10795  962    61893
10795  1813   17797
10795  3757   16317
10795  7696   61893
10795  7992   15925
10795  10933  27195
10795  13431  65533
10795  13875  26325
10795  13875  40768
10795  15392  61893
10795  16317  60112
10795  17797  29008
10795  18672  61893
10795  26223  46800
10795  26325  28736
10795  30784  61893
10795  46976  49972
10796  2775   49972
10796  2936   49972
10796  4212   62197
10796  5733   47138
10796  6877   64935
10796  11100  12493
10796  11744  49972
10796  15392  27508
10796  17797  29522
10796  21191  40768
10796  31968  63700
10796  34632  36517
10796  44400  49972
10797  637    21191
10797  734    49972
10797  1796   26325
10797  2548   21191
10797  7215   58357
10797  7252   17797
10797  8325   10933
10797  9555   53428
10797  10192  16317
10797  10192  21191
10797  15392  33813
10797  15925  31968
10797  23125  42237
10797  24037  44955
10797  24050  65533
10797  25168  62197
10797  40768  55500
10797  41225  65533
10798  1525   21853
10798  2548   16317
10798  5733   10693
10798  5733   53428
10798  7215   36517
10798  9477   30184
10798  10693  22932
10798  11988  24037
10798  12493  18759
10798  14800  42237
10798  15028  15392
10798  15028  65268
10798  18759  49972
10798  19980  37908
10798  22932  47138
10798  22932  53428
10798  28860  36517
10798  35557  60112
10798  36517  53724
10798  41886  49972
10798  55500  56355
10799  637    16317
10799  962    27508
10799  962    33813
10799  1573   62197
10799  3757   35557
10799  5733   13357
10799  12493  41886
10799  12493  46976
10799  13798  15028
10799  16317  40768
10799  21853  24400
10799  28860  58357
10799  36517  39146
10799  36517  58201
10799  60112  65268
10800  962    15028
10800  2548   52637
10800  2936   12493
10800  3757   65268
10800  6877   10071
10800  7546   32500
10800  11744  12493
10800  11988  18772
10800  13875  56355
10800  15028  35557
10800  15028  55192
10800  18759  56355
10800  21853  23125
10800  24037  63335
10800  27195  43732
10800  40768  52637
10800  48373  53428
10800  53724  65533
10800  60112  61568
10801  637    20242
10801  734    12493
10801  1813   56355
10801  3757   13798
10801  4995   37908
10801  8658   36517
10801  10192  20242
10801  10192  52637
10801  10933  33300
10801  11100  18772
10801  11840  22932
10801  12493  44400
10801  13357  22932
10801  26491  36517
10801  35964  49972
10801  39146  61893
10801  61243  61893
10802  185    22932
10802  637    52637
10802  1872   11988
10802  2775   12493
10802  2775   28717
10802  2997   8125
10802  2997   24037
10802  3757   61568
10802  3848   27508
10802  3848   60112
10802  4693   11988
10802  4693   42772
10802  7215   61893
10802  7546   9477
10802  8125   47952
10802  8325   43732
10802  10192  65268
10802  10693  18772
10802  10933  40293
10802  11100  28717
10802  12493  35964
10802  13357  48373
10802  13798  60112
10802  18772  42772
10802  18772  47952
10802  19773  44955
10802  27508  61568
10802  30184  37908
10802  30784  42237
10803  468    30184
10803  1053   62197
10803  1924   42237
10803  2548   65268
10803  3757   55192
10803  3848   33813
10803  4693   10693
10803  4693   47952
10803  7252   56355
10803  8991   49972
10803  9555   13357
10803  10071  27508
10803  16848  62197
10803  18772  45325
10803  22932  47360
10803  28717  44400
10803  28817  36517
10803  33813  61568
10803  38220  53428
10803  45253  61568
10803  54925  58201
10804  637    65268
10804  740    22932
10804  1332   19773
10804  1872   47952
10804  2960   22932
10804  2997   18772
10804  3757   3848
10804  3848   61893
10804  3996   28717
10804  6877   40284
10804  6877   58201
10804  7488   30184
10804  8125   11988
10804  15925  62530
10804  19500  19573
10804  19773  26973
10804  24037  47952
10804  27195  61893
10804  29008  56355
10804  40293  43732
10804  40768  65268
10804  42237  59200
10804  55192  60112
10804  61568  61893
10805  13     34584
10805  117    11988
10805  481    42237
10805  832    8646
10805  832    34584
10805  1813   28717
10805  1872   2997
10805  1872   30184
10805  1924   58357
10805  2368   10933
10805  2997   4693
10805  3328   34584
10805  3700   42237
10805  3848   45253
10805  4693   11100
10805  6877   7215
10805  6877   28860
10805  7696   42237
10805  7696   58357
10805  8125   19651
10805  8991   12493
10805  10309  43732
10805  11988  29952
10805  15392  15925
10805  20242  40768
10805  22932  46038
10805  26714  63700
10805  26862  28717
10805  28717  29008
10805  28717  63936
10805  30784  58357
10805  33300  43732
10805  40293  65533
10806  52     8646
10806  52     34584
10806  148    10933
10806  333    21853
10806  468    11988
10806  481    58357
10806  962    15925
10806  1332   21853
10806  2997   32500
10806  6292   10693
10806  6292   42772
10806  7546   37908
10806  8646   13312
10806  9477   19980
10806  10933  37888
10806  12493  54138
10806  13312  34584
10806  17908  48373
10806  18772  19980
10806  19773  21312
10806  22385  45253
10806  32500  47952
10806  33813  36260
10807  13     8646
10807  117    47952
10807  208    34584
10807  1872   7184
10807  1872   28736
10807  2548   20242
10807  2775   18772
10807  2925   11956
10807  3328   8646
10807  4212   23125
10807  5328   21853
10807  7488   11988
10807  8954   49972
10807  15028  61568
10807  17908  51597
10807  18759  22932
10807  19651  32500
10807  21312  21853
10807  27508  40284
10807  29952  47952
10807  34584  53248
10807  62530  63700
10808  117    2997
10808  117    7184
10808  117    28736
10808  117    30184
10808  208    8646
10808  449    1872
10808  468    47952
10808  1053   23125
10808  1796   1872
10808  2368   43732
10808  2997   29952
10808  7104   60112
10808  7184   29952
10808  7252   28717
10808  8646   53248
10808  10309  10933
10808  11700  11956
10808  11956  46800
10808  11988  32500
10808  13357  38220
10808  18772  44400
10808  19980  28717
10808  21853  34114
10808  28736  29952
10808  28860  61893
10808  29952  30184
10808  35557  48373
10808  42011  49972
10808  49972  54138
10809  117    449
10809  117    1796
10809  148    43732
10809  333    19773
10809  444    60112
10809  449    29952
10809  468    2997
10809  592    10933
10809  637    50751
10809  962    45253
10809  1573   10693
10809  1776   60112
10809  1796   29952
10809  2925   47824
10809  2925   54238
10809  3757   7104
10809  3848   15028
10809  4477   20800
10809  4477   56355
10809  4995   9477
10809  5328   19773
10809  7104   15028
10809  7488   47952
10809  8658   27508
10809  15392  45253
10809  17908  20800
10809  21853  47138
10809  26330  65533
10809  33813  53465
10809  37888  43732
10809  38961  51597
10809  40293  56628
10809  46800  47824
10809  46800  54238
10810  37     10933
10810  111    15028
10810  111    60112
10810  444    3757
10810  444    15028
10810  468    7546
10810  1332   48373
10810  1776   3757
10810  1776   15028
10810  1813   42237
10810  2548   4171
10810  2775   4693
10810  2925   2989
10810  2989   46800
10810  2997   7488
10810  3848   15925
10810  7400   54925
10810  7488   7546
10810  9472   10933
10810  10192  50751
10810  10693  25168
10810  11700  47824
10810  11700  54238
10810  12493  13183
10810  15028  28416
10810  15392  63700
10810  15925  26714
10810  15925  44955
10810  15925  61568
10810  16848  23125
10810  21312  48373
10810  26325  26940
10810  26325  30184
10810  28416  60112
10810  36517  44042
10810  39325  57720
10811  111    3757
10811  333    48373
10811  592    15925
10811  1300   13431
10811  1573   42772
10811  2368   15925
10811  2989   11700
10811  3757   28416
10811  4171   40768
10811  4693   45325
10811  4875   19573
10811  7400   36517
10811  9477   10527
10811  10527  27508
10811  14157  40293
10811  15925  45325
10811  15925  53465
10811  19573  48373
10811  20130  65533
10811  21853  22021
10811  25168  42772
10811  27195  56355
10811  29008  42237
10811  35557  61893
10811  35816  49972
10811  41236  43732
10812  37     15925
10812  52     20142
10812  148    15925
10812  208    11956
10812  592    43732
10812  637    4171
10812  832    20453
10812  962    63700
10812  1300   4477
10812  1300   17908
10812  1300   53724
10812  1300   59200
10812  1850   36517
10812  1872   7546
10812  2368   63700
10812  4171   10192
10812  4477   48373
10812  4693   44400
10812  4995   28717
10812  5328   48373
10812  5733   11840
