This file is an ordered list of all 16bit choices for a miller-rabin base to use
in conjunction with base 2, when doing primality testing of a 64 bit value.
The list is sorted by how many 64 bit values are strong pseudoprimes to both of
the following bases: base[0]=2 and base[1]=the_listed_base_number.

total pseudoprimes   base number
1304672  31680
1304683  1980
1304698  17136
1304703  5450
1304709  1071
1304722  34391
1304730  1212
1304738  19392
1304739  7575
1304746  21800
1304749  38024
1304753  30300
1304764  4284
1304993  51525
1305003  8244
1305024  2061
1305032  32976
1305061  24543
1305110  15714
1305160  21901
1305167  62856
1305191  55770
1305207  8250
1305221  30589
1305228  4806
1305233  19224
1305246  33000
1305327  62370
1305330  724
1305342  2896
1305353  11584
1305353  181
1305369  46336
1305370  21120
1305391  5280
1305392  52479
1305401  1320
1305411  43650
1305427  27720
1305441  330
1305447  17738
1305458  42728
1305488  6930
1305499  10682
1305510  14656
1305514  916
1305521  17303
1305538  56677
1305573  36663
1305590  3664
1305611  229
1305611  58624
1305641  18997
1305644  14661
1305729  58644
1305797  41327
1305818  49280
1305826  35325
1305827  3080
1305848  31605
1305868  22848
1305870  1428
1305873  3925
1305874  770
1305875  12320
1305878  30960
1305901  62800
1305909  1935
1305917  14300
1305919  357
1305920  5712
1305923  15700
1305933  2136
1305941  18549
1305944  8544
1305945  26166
1305946  26533
1305959  34176
1305961  7740
1305961  534
1305980  59388
1305994  16170
1306014  14847
1306026  3575
1306035  57200
1306035  16023
1306038  64092
1306047  23220
1306064  43254
1306089  63063
1306105  64680
1306125  17415
1306178  5805
1306185  58322
1306277  26015
1306289  7007
1306297  32700
1306306  31265
1306318  13350
1306324  53400
1306329  22385
1306335  15156
1306339  3789
1306350  60624
1306360  8175
1306365  28028
1306389  45373
1306415  9150
1306436  693
1306440  36600
1306443  11088
1306461  2772
1306473  44352
1306549  12789
1306599  572
1306601  64061
1306604  9152
1306604  51156
1306620  55890
1306655  65234
1306656  36608
1306664  2288
1306667  143
1306717  56133
1306753  2943
1306754  41876
1306758  10469
1306762  18125
1306763  11772
1306765  47088
1306782  690
1306800  43197
1306801  11040
1306802  39930
1306806  11583
1306812  4525
1306815  48375
1306815  11880
1306822  46332
1306827  47520
1306828  2760
1306838  44160
1306842  2970
1306854  18100
1306870  36207
1306893  27709
1306925  7578
1306932  8381
1306945  4122
1306947  33524
1306949  458
1306955  3213
1306965  7328
1306971  20592
1306971  6925
1306981  1629
1306989  11175
1306990  1287
1306994  51408
1307005  23618
1307006  27700
1307011  29312
1307012  30312
1307014  16488
1307015  24167
1307015  33810
1307021  44700
1307023  26064
1307025  12852
1307032  36335
1307041  6516
1307043  1832
1307076  5148
1307105  37730
1307121  46170
1307140  51909
1307140  46813
1307161  37098
1307209  34749
1307221  464
1307231  7424
1307244  29
1307262  29696
1307264  116
1307269  1856
1307296  21903
1307301  26640
1307305  9396
1307306  1665
1307313  36260
1307322  31790
1307348  1108
1307353  277
1307354  6660
1307374  4432
1307384  37584
1307392  35700
1307392  4023
1307393  17728
1307398  2349
1307404  64368
1307405  16092
1307406  9065
1307415  64500
1307424  17250
1307432  3105
1307435  22125
1307441  17493
1307443  13575
1307446  16125
1307453  5652
1307465  8925
1307469  49680
1307474  40535
1307474  12420
1307483  26730
1307487  1413
1307488  55440
1307502  22608
1307515  13000
1307517  3465
1307525  54300
1307537  34500
1307544  58305
1307551  44109
1307553  12717
1307553  30772
1307555  16905
1307564  930
1307566  19250
1307573  61178
1307574  14880
1307598  3720
1307600  52000
1307603  50868
1307604  61364
1307605  13860
1307609  59520
1307612  3250
1307621  55263
1307623  46706
1307638  15341
1307639  21141
1307639  8625
1307648  52245
1307659  7693
1307672  29322
1307677  34727
1307679  1044
1307684  21021
1307701  16704
1307722  49126
1307723  44286
1307731  31185
1307736  12050
1307738  31581
1307745  327
1307749  22437
1307754  1684
1307762  28700
1307766  51207
1307767  5232
1307773  25289
1307780  26487
1307784  32175
1307784  6736
1307784  48200
1307785  5375
1307786  26944
1307790  421
1307791  4176
1307791  261
1307799  7175
1307804  21500
1307813  23424
1307816  1464
1307816  4338
1307827  53621
1307870  1308
1307872  10150
1307874  366
1307878  17352
1307881  18914
1307882  41216
1307888  5856
1307892  161
1307892  12564
1307896  20928
1307907  7712
1307907  10304
1307912  41625
1307914  2576
1307915  40600
1307920  1928
1307923  30848
1307926  644
1307935  482
1307937  10320
1307942  39567
1307954  3141
1307957  645
1307962  34900
1307963  50256
1308021  6525
1308025  22080
1308025  7700
1308026  41280
1308030  1540
1308031  2580
1308031  24640
1308039  385
1308042  5725
1308049  1925
1308049  6160
1308055  28917
1308057  1380
1308063  26100
1308069  55647
1308080  30800
1308083  2280
1308095  345
1308097  22900
1308103  1232
1308108  19712
1308110  1421
1308111  63210
1308113  77
1308117  8725
1308120  36480
1308125  570
1308126  5520
1308130  23168
1308134  1448
1308140  39701
1308147  22736
1308151  1788
1308152  55584
1308153  34606
1308162  28959
1308163  3474
1308168  9120
1308170  13896
1308171  362
1308171  308
1308175  56144
1308176  3509
1308184  28608
1308186  5792
1308189  7152
1308192  5684
1308192  4928
1308194  447
1308195  3220
1308198  805
1308202  12880
1308202  51520
1308205  14036
1308210  45570
1308230  14985
1308231  53742
1308251  59940
1308258  65205
1308263  6210
1308282  24840
1308283  58725
1308285  54918
1308302  2644
1308305  42304
1308307  54292
1308311  23079
1308312  58464
1308317  20520
1308319  53066
1308332  3654
1308348  42229
1308351  13573
1308354  48503
1308354  62135
1308359  1624
1308360  10048
1308362  543
1308364  628
1308364  53550
1308372  14616
1308372  8688
1308373  55955
1308374  53541
1308374  2512
1308381  27945
1308385  25984
1308390  22350
1308398  17838
1308404  157
1308409  10576
1308411  40192
1308416  34752
1308421  661
1308423  3258
1308426  44203
1308430  5130
1308435  44884
1308438  52128
1308438  39042
1308443  27150
1308446  22785
1308458  53465
1308459  2172
1308459  36422
1308468  406
1308469  10725
1308475  47125
1308479  6496
1308485  11600
1308486  725
1308503  42900
1308504  13032
1308505  30996
1308506  14250
1308511  57000
1308515  50941
1308515  22336
1308521  1396
1308532  349
1308533  11221
1308536  49245
1308545  60333
1308553  5584
1308568  52052
1308569  51623
1308570  7749
1308572  59725
1308583  57330
1308597  27797
1308598  21987
1308598  10535
1308602  13760
1308607  29694
1308607  3440
1308616  1082
1308616  860
1308623  65461
1308623  4328
1308623  33500
1308623  42140
1308624  215
1308625  2900
1308629  55040
1308630  17312
1308632  3773
1308634  9650
1308635  46400
1308636  6237
1308643  38478
1308648  61393
1308652  51545
1308655  37570
1308656  22054
1308658  24948
1308661  33517
1308661  2856
1308661  714
1308662  61854
1308663  11424
1308663  33480
1308665  61776
1308670  45696
1308671  60368
1308671  13013
1308675  47025
1308677  3861
1308684  7245
1308687  23250
1308689  22442
1308694  8375
1308696  43806
1308697  8370
1308698  6176
1308703  59829
1308707  22621
1308709  386
1308710  21651
1308715  28980
1308718  38600
1308727  54978
1308731  18018
1308735  5796
1308742  15092
1308742  31400
1308742  37994
1308749  26175
1308750  45800
1308756  11610
1308760  15444
1308761  43317
1308761  23184
1308767  48442
1308772  1449
1308775  30854
1308777  10332
1308778  13176
1308786  7461
1308788  7850
1308791  51900
1308791  31330
1308792  43749
1308792  29175
1308794  24638
1308799  7362
1308804  8613
1308804  1860
1308807  51303
1308809  11450
1308809  465
1308810  24704
1308814  26754
1308815  29448
1308820  1544
1308820  60050
1308821  4616
1308825  29844
1308827  31266
1308829  12975
1308832  18464
1308832  28050
1308832  16950
1308837  29760
1308840  46440
1308842  61560
1308846  52019
1308847  7440
1308855  1154
1308856  27489
1308857  36225
1308858  5225
1308859  41328
1308867  34452
1308869  20900
1308873  2583
1308875  43974
1308889  17375
1308891  13525
1308891  38701
1308891  16415
1308892  15390
1308894  55763
1308894  2164
1308895  17934
1308897  51205
1308907  21735
1308908  18009
1308909  34624
1308916  54100
1308919  11662
1308919  48749
1308921  46648
1308925  50263
1308927  52704
1308935  58294
1308935  34101
1308936  8656
1308938  59682
1308941  1605
1308943  10992
1308944  541
1308946  9925
1308946  25680
1308950  54910
1308953  38784
1308958  35591
1308960  51807
1308960  20790
1308961  527
1308967  47360
1308968  6420
1308969  2960
1308969  28276
1308972  3294
1308972  17101
1308973  8432
1308975  185
1308977  18170
1308980  11840
1308983  26509
1308984  35321
1308985  43968
1308988  6840
1308990  2424
1308990  2748
1308991  6864
1308992  7069
1308996  26308
1308997  35525
1308998  60625
1309002  888
1309003  6577
1309005  40719
1309005  740
1309007  57960
1309008  9317
1309008  429
1309008  14208
1309011  27209
1309011  38065
1309015  45617
1309015  687
1309018  606
1309023  48125
1309024  2108
1309026  9696
1309026  33728
1309027  1710
1309031  31674
1309034  42750
1309035  10818
1309036  16850
1309037  17567
1309039  32110
1309042  39700
1309044  20294
1309044  27360
1309046  33222
1309047  3552
1309050  37268
1309052  28269
1309056  11235
1309056  15355
1309058  46887
1309060  32389
1309061  58931
1309062  64575
1309064  45983
1309064  65469
1309065  14490
1309067  12765
1309070  25420
1309073  36400
1309074  20629
1309076  1570
1309078  222
1309079  2275
1309083  1686
1309084  44940
1309088  6355
1309088  58887
